run_id,timestamp,scenario,parameter_name,value,unit,description,source,details_json
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,C_sa,0.913028571428574,mL/mmHg,"Exported field ""C_sa""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,C_sc,0.127913142857143,mL/mmHg,"Exported field ""C_sc""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,C_sv,34.2857142857144,mL/mmHg,"Exported field ""C_sv""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,L_sa,0.00029643,mmHg*s^2/mL,"Exported field ""L_sa""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,L_sv,2.0643e-05,mmHg*s^2/mL,"Exported field ""L_sv""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,R_pa,0.0617492744882135,mmHg*s/mL,"Exported field ""R_pa""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,R_pc,0.0151674898595839,mmHg*s/mL,"Exported field ""R_pc""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,R_sh,0.30419733625328,mmHg*s/mL,"Exported field ""R_sh""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,R_pv,0.0324313416429693,mmHg*s/mL,"Exported field ""R_pv""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,C_pa,2.74482285714286,mL/mmHg,"Exported field ""C_pa""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,C_pc,2.64242285714286,mL/mmHg,"Exported field ""C_pc""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,C_sh,0.0224196571428571,mL/mmHg,"Exported field ""C_sh""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,C_pv,5.20274285714286,mL/mmHg,"Exported field ""C_pv""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,L_pa,2.0643e-05,mmHg*s^2/mL,"Exported field ""L_pa""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,L_pv,2.0643e-05,mmHg*s^2/mL,"Exported field ""L_pv""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,R_mv_min,0.0127177572544774,mmHg*s/mL,"Exported field ""R_mv_min""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,R_mv_max,94168,mmHg*s/mL,"Exported field ""R_mv_max""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,R_ao_min,0.0127177572544774,mmHg*s/mL,"Exported field ""R_ao_min""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,R_ao_max,94168,mmHg*s/mL,"Exported field ""R_ao_max""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,R_tv_min,0.0127177572544774,mmHg*s/mL,"Exported field ""R_tv_min""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,R_tv_max,94168,mmHg*s/mL,"Exported field ""R_tv_max""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,R_pv_valve_min,0.0127177572544774,mmHg*s/mL,"Exported field ""R_pv_valve_min""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,R_pv_valve_max,94168,mmHg*s/mL,"Exported field ""R_pv_valve_max""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,valve_smoothing_pressure,1e-06,not specified by caller,"Exported field ""valve_smoothing_pressure""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,R_ASD,Inf,mmHg*s/mL,"Exported field ""R_ASD""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,is_post_op,1,not specified by caller,"Exported field ""is_post_op""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,epsilon_asd,0.1,not specified by caller,"Exported field ""epsilon_asd""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,asd.mode,closed,not specified by caller,"Exported field ""asd.mode""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,asd.area_mm2,0,not specified by caller,"Exported field ""asd.area_mm2""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,asd.diameter_mm,0,not specified by caller,"Exported field ""asd.diameter_mm""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,asd.Cd,0.7,not specified by caller,"Exported field ""asd.Cd""; verify definition in source function.",payload struct,
